,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
69,buy,long,149.746,2023-10-18 13:20:00,149.70839285714288,149.80867857142857,,,
70,stop_loss,long,149.746,2023-10-18 13:30:00,149.70839285714288,149.80867857142857,149.681,-1.0,2023-10-18 13:35:00
71,sell,short,149.645,2023-10-18 14:50:00,149.6864642857143,149.5758928571429,,,
72,stop_loss,short,149.645,2023-10-18 15:20:00,149.6864642857143,149.5758928571429,149.692,-1.0,2023-10-18 15:25:00
73,buy,long,149.727,2023-10-18 16:15:00,149.6765357142857,149.81110714285714,,,
74,take_profit,long,149.727,2023-10-18 17:30:00,149.75614285714286,149.81110714285714,149.827,1.5,2023-10-18 17:35:00
75,sell,short,149.784,2023-10-18 21:05:00,149.8390714285714,149.6922142857143,,,
76,stop_loss,short,149.784,2023-10-18 21:25:00,149.8390714285714,149.6922142857143,149.863,-1.0,2023-10-18 21:30:00
77,sell,short,149.758,2023-10-19 09:45:00,149.80075,149.68675000000002,,,
78,stop_loss,short,149.758,2023-10-19 11:10:00,149.80075,149.68675000000002,149.83,-1.0,2023-10-19 11:15:00
79,buy,long,149.855,2023-10-19 12:35:00,149.8217857142857,149.91035714285715,,,
80,stop_loss,long,149.855,2023-10-19 12:50:00,149.8217857142857,149.91035714285715,149.815,-1.0,2023-10-19 12:55:00
81,sell,short,149.808,2023-10-19 16:15:00,149.86328571428572,149.71585714285712,,,
82,stop_loss,short,149.808,2023-10-19 17:35:00,149.86328571428572,149.71585714285712,149.875,-1.0,2023-10-19 17:40:00
83,sell,short,149.759,2023-10-19 20:55:00,149.84760714285713,149.61132142857142,,,
84,stop_loss,short,149.759,2023-10-20 00:40:00,149.75578571428574,149.61132142857142,149.763,-1.0,2023-10-20 00:45:00
85,buy,long,149.862,2023-10-23 04:05:00,149.81635714285713,149.93807142857142,,,
86,stop_loss,long,149.862,2023-10-23 05:15:00,149.86828571428572,149.93807142857142,149.857,-1.0,2023-10-23 05:20:00
87,buy,long,150.002,2023-10-25 21:45:00,149.95850000000002,150.07450000000003,,,
88,take_profit,long,150.002,2023-10-25 23:05:00,150.04814285714284,150.07450000000003,150.075,1.5,2023-10-25 23:10:00
89,sell,short,150.062,2023-10-26 01:15:00,150.1132142857143,149.97664285714288,,,
90,stop_loss,short,150.062,2023-10-26 01:30:00,150.1132142857143,149.97664285714288,150.145,-1.0,2023-10-26 01:35:00
91,sell,short,150.17,2023-10-26 15:50:00,150.27885714285713,149.98857142857142,,,
92,stop_loss,short,150.17,2023-10-26 16:55:00,150.27885714285713,149.98857142857142,150.339,-1.0,2023-10-26 17:00:00
93,sell,short,150.344,2023-10-27 02:25:00,150.36425,150.31025,,,
94,stop_loss,short,150.344,2023-10-27 02:55:00,150.36425,150.31025,150.378,-1.0,2023-10-27 03:00:00
95,sell,short,150.34,2023-10-27 03:35:00,150.38425,150.26625,,,
96,stop_loss,short,150.34,2023-10-27 03:45:00,150.32549999999998,150.26625,150.364,-1.0,2023-10-27 03:50:00
97,sell,short,149.732,2023-10-27 16:20:00,149.86839285714285,149.50467857142857,,,
98,stop_loss,short,149.732,2023-10-27 17:05:00,149.69199999999998,149.50467857142857,149.694,-1.0,2023-10-27 17:10:00
99,sell,short,149.045,2023-10-30 23:40:00,149.07896428571428,148.98839285714286,,,
100,stop_loss,short,149.045,2023-10-31 00:10:00,149.07896428571428,148.98839285714286,149.095,-1.0,2023-10-31 00:15:00
101,buy,long,150.227,2023-10-31 09:30:00,150.1285357142857,150.39110714285715,,,
102,stop_loss,long,150.227,2023-10-31 09:30:00,150.1285357142857,150.39110714285715,150.109,-1.0,2023-10-31 09:35:00
103,buy,long,150.73,2023-10-31 12:00:00,150.55085714285713,151.0285714285714,,,
104,stop_loss,long,150.73,2023-10-31 14:40:00,150.86542857142857,151.0285714285714,150.864,-1.0,2023-10-31 14:45:00
105,sell,short,150.792,2023-11-01 21:20:00,150.96664285714286,150.50092857142857,,,
106,stop_loss,short,150.792,2023-11-02 00:45:00,150.625,150.50092857142857,150.643,-1.0,2023-11-02 00:50:00
107,sell,short,150.395,2023-11-02 11:00:00,150.52239285714285,150.1826785714286,,,
108,stop_loss,short,150.395,2023-11-02 11:35:00,150.30100000000002,150.1826785714286,150.319,-1.0,2023-11-02 11:40:00
109,sell,short,149.356,2023-11-03 15:55:00,149.5375,149.05349999999999,,,
110,stop_loss,short,149.356,2023-11-03 15:55:00,149.5375,149.05349999999999,149.559,-1.0,2023-11-03 16:00:00
